date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:45	1450/1450	---M-Z	404	error ('Not%20Found')	text/html	etag:1667906174-ssl-df	https://epiktheme.netlify.app/robots.txt		(from )
12:15:46	49508/49508	---MCZ	200	added ('OK')	text/html	etag:%22da19245c83f909ec4e8d05cf7847a44a-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/index.html	(from )
12:15:47	31000/31000	---MCZ	200	added ('OK')	text/css	etag:%22f705afb71b4dfe30f1762eddfb48bf19-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/css/font-awesome.min.css	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/css/font-awesome.min.css	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:49	140930/140930	---MCZ	200	added ('OK')	text/css	etag:%2239f5d9fb151e57a2fa676adb46932dfb-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/css/bootstrap.min.css	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/css/bootstrap.min.css	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:49	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%220f78665b1ce6ee12f44775c69c417caf-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/css/slick.css	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/css/slick.css	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:50	33752/33752	---MCZ	200	added ('OK')	text/css	etag:%2231e512be04fa467e47708f443b530398-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/css/style.css	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/css/style.css	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:51	8021/8021	---MCZ	200	added ('OK')	text/css	etag:%22150dfade64de846e9d2df67463a82757-ssl-df%22	https://epiktheme.netlify.app/html/preminum/demo/css/responsive.css	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/css/responsive.css	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:52	111062/111062	---M--	200	added ('OK')	image/png	etag:%22bed27f7b88cefacdf23aab6172aed174-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/banner.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/banner.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:53	32019/32019	---M--	200	added ('OK')	image/png	etag:%2291420fbcfc20cb3da5329cac972a7783-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/about.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/about.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:53	4198/4198	---M--	200	added ('OK')	image/png	etag:%22abaadf1b96b820e36fbbd57200e955aa-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/chat1.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/chat1.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:54	2976/2976	---M--	200	added ('OK')	image/png	etag:%226861e8567c0a3cda7e143f71846a2db1-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/chat2.png	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/chat2.png	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:56	40777/40777	---M--	200	added ('OK')	image/jpeg	etag:%228ba6be90ed1daa5343b24e188e49db89-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/port1.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/port1.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:57	49169/49169	---M--	200	added ('OK')	image/jpeg	etag:%2214a65c24e0fd974a6f2898f957c946e2-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/port2.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/port2.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:58	24889/24889	---M--	200	added ('OK')	image/jpeg	etag:%228e641b3ceda119a69f1c670b769abc44-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/port3.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/port3.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:59	69066/69066	---M--	200	added ('OK')	image/jpeg	etag:%228b4baddf924549ee43357f405beac767-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/port4.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/port4.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:15:59	45998/45998	---M--	200	added ('OK')	image/jpeg	etag:%2254bc83c68d113e5923aaa3f7fcf4c1de-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/port5.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/port5.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:00	19808/19808	---M--	200	added ('OK')	image/jpeg	etag:%22ad787a42a21fe5e934a3c9fbd405f0b9-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/port6.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/port6.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:01	60056/60056	---M--	200	added ('OK')	image/jpeg	etag:%22f29e886d7a9585bcbb813d6ee1d8af6c-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/blog1.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/blog1.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:01	38725/38725	---M--	200	added ('OK')	image/jpeg	etag:%22e0d03de08996365c4c01f066e11bf25a-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/blog2.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/blog2.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:02	61004/61004	---M--	200	added ('OK')	image/jpeg	etag:%229d7b3b7685af2e534e18dc5be51dadc4-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/blog3.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/blog3.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
12:16:03	25687/25687	---M--	200	added ('OK')	image/jpeg	etag:%22acd08c36ca005dbaff842aa83404b615-ssl%22	https://epiktheme.netlify.app/html/preminum/demo/images/blog4.jpg	C:/My%20Web%20Sites/Website/epiktheme.netlify.app/html/preminum/demo/images/blog4.jpg	(from https://epiktheme.netlify.app/html/preminum/demo/)
